run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
2,clean,,baseline,jupiter-v6,2892224,success,resend_time,911845,0
2,clean,,baseline,jupiter-v6,2892224,success,confirm_phase,911909,0
2,clean,,baseline,jupiter-v6,2892224,success,write_chunks,19623135,1866
2,clean,,baseline,jupiter-v6,2892224,success,final_tx,513455,0
2,clean,,baseline,jupiter-v6,2892224,success,total_deploy,20642037,2892224
2,clean,,tpu_next,token-2022,1382016,success,wall,7400065,0
2,clean,,tpu_next,token-2022,1382016,success,client_setup,470,0
2,clean,,tpu_next,token-2022,1382016,success,first_send,4,0
2,clean,,tpu_next,token-2022,1382016,success,send_phase,5001787,501
2,clean,,tpu_next,token-2022,1382016,success,resend_rounds,1,137
2,clean,,tpu_next,token-2022,1382016,success,resent_txs,137,0
2,clean,,tpu_next,token-2022,1382016,success,resend_time,1361572,0
2,clean,,tpu_next,token-2022,1382016,success,confirm_phase,1361659,0
2,clean,,tpu_next,token-2022,1382016,success,write_chunks,6372841,501
2,clean,,tpu_next,token-2022,1382016,success,quic_sent,637,501
2,clean,,tpu_next,token-2022,1382016,success,final_tx,506590,0
2,clean,,tpu_next,token-2022,1382016,success,total_deploy,7383419,1382016
2,clean,,baseline,token-2022,1382016,success,wall,7380247,0
2,clean,,baseline,token-2022,1382016,success,client_setup,973,0
2,clean,,baseline,token-2022,1382016,success,first_send,1215,0
2,clean,,baseline,token-2022,1382016,success,send_phase,5001679,501
2,clean,,baseline,token-2022,1382016,success,resend_rounds,1,134
2,clean,,baseline,token-2022,1382016,success,resent_txs,134,0
2,clean,,baseline,token-2022,1382016,success,resend_time,1330982,0
2,clean,,baseline,token-2022,1382016,success,confirm_phase,1331083,0
2,clean,,baseline,token-2022,1382016,success,write_chunks,6349418,501
2,clean,,baseline,token-2022,1382016,success,final_tx,507301,0
2,clean,,baseline,token-2022,1382016,success,total_deploy,7361754,1382016
2,clean,,baseline,token,108600,success,wall,3090035,0
2,clean,,baseline,token,108600,success,client_setup,570,0
2,clean,,baseline,token,108600,success,first_send,1141,0
2,clean,,baseline,token,108600,success,send_phase,1071169,108
2,clean,,baseline,token,108600,success,resend_rounds,3,34
2,clean,,baseline,token,108600,success,resent_txs,102,0
2,clean,,baseline,token,108600,success,resend_time,992692,0
2,clean,,baseline,token,108600,success,confirm_phase,992818,0
2,clean,,baseline,token,108600,success,write_chunks,2068162,108
2,clean,,baseline,token,108600,success,final_tx,503874,0
2,clean,,baseline,token,108600,success,total_deploy,3075260,108600
2,clean,,tpu_next,token,108600,success,wall,3028539,0
2,clean,,tpu_next,token,108600,success,client_setup,546,0
2,clean,,tpu_next,token,108600,success,first_send,7,0
2,clean,,tpu_next,token,108600,success,send_phase,1070517,108
2,clean,,tpu_next,token,108600,success,resend_rounds,2,34
2,clean,,tpu_next,token,108600,success,resent_txs,34,0
2,clean,,tpu_next,token,108600,success,resend_time,331708,0
2,clean,,tpu_next,token,108600,success,confirm_phase,932935,0
2,clean,,tpu_next,token,108600,success,write_chunks,2005499,108
2,clean,,tpu_next,token,108600,success,quic_sent,142,108
2,clean,,tpu_next,token,108600,success,final_tx,502837,0
2,clean,,tpu_next,token,108600,success,total_deploy,3012047,108600
2,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,wall,27328601,0
2,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,client_setup,802116,0
2,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,first_send,3,0
